TimeSec,CurX,CurY,CurZ,TgtX,TgtY,TgtZ
1.75104e+09,0.140007,1.11543e-06,1.005,0.14,0,1.005
1.75104e+09,0.140007,1.11543e-06,1.005,0.14,0,1.005
1.75104e+09,0.140007,1.11543e-06,1.005,0.14,0,1.005
1.75104e+09,0.140007,1.13112e-06,1.005,0.14,0,1.005
1.75104e+09,0.140007,1.13112e-06,1.005,0.14,0,1.005
1.75104e+09,0.140007,1.13112e-06,1.005,0.14,0,1.005
1.75104e+09,0.140007,1.13112e-06,1.005,0.14,0,1.005
1.75104e+09,0.140007,1.13112e-06,1.005,0.14,0,1.005
1.75104e+09,0.140007,1.13112e-06,1.005,0.14,0,1.005
1.75104e+09,0.140007,1.13112e-06,1.005,0.14,0,1.005
1.75104e+09,0.140007,1.13112e-06,1.005,0.145392,-0.00157991,0.999518
1.75104e+09,0.140007,1.13112e-06,1.005,0.145392,-0.00157991,0.999518
1.75104e+09,0.140007,1.13112e-06,1.005,0.145392,-0.00157991,0.999518
1.75104e+09,0.140007,1.13112e-06,1.005,0.145392,-0.00157991,0.999518
1.75104e+09,0.140007,1.13112e-06,1.005,0.145392,-0.00157991,0.999518
1.75104e+09,0.140007,1.14678e-06,1.005,0.145392,-0.00157991,0.999518
1.75104e+09,0.140007,1.14678e-06,1.005,0.145392,-0.00157991,0.999518
1.75104e+09,0.140007,1.14678e-06,1.005,0.145392,-0.00157991,0.999518
1.75104e+09,0.140007,1.14678e-06,1.005,0.145392,-0.00157991,0.999518
1.75104e+09,0.140007,1.14678e-06,1.005,0.145392,-0.00157991,0.999518
1.75104e+09,0.140007,1.14678e-06,1.005,0.150784,-0.0030963,0.994073
1.75104e+09,0.140007,1.14678e-06,1.005,0.150784,-0.0030963,0.994073
1.75104e+09,0.140007,1.14678e-06,1.005,0.150784,-0.0030963,0.994073
1.75104e+09,0.140007,1.14678e-06,1.005,0.150784,-0.0030963,0.994073
1.75104e+09,0.140007,1.14678e-06,1.005,0.150784,-0.0030963,0.994073
1.75104e+09,0.140007,1.14678e-06,1.005,0.150784,-0.0030963,0.994073
1.75104e+09,0.143722,1.19331e-06,1.0044,0.150784,-0.0030963,0.994073
1.75104e+09,0.143722,1.19331e-06,1.0044,0.150784,-0.0030963,0.994073
1.75104e+09,0.143722,1.19331e-06,1.0044,0.150784,-0.0030963,0.994073
1.75104e+09,0.143722,1.19331e-06,1.0044,0.156174,-0.00455015,0.988666
1.75104e+09,0.143722,1.19331e-06,1.0044,0.156174,-0.00455015,0.988666
1.75104e+09,0.143722,1.19331e-06,1.0044,0.156174,-0.00455015,0.988666
1.75104e+09,0.143722,1.19331e-06,1.0044,0.156174,-0.00455015,0.988666
1.75104e+09,0.143722,1.19331e-06,1.0044,0.156174,-0.00455015,0.988666
